BASELINE
  exit=0 24 passed, 0 failed
F13h: KILLED exit=1 23 passed, 1 failed :: DELETE 守卫少一条: OR EXISTS (SELECT 1 FROM submit_intents WHERE intent_key = '
F14a: KILLED exit=1 22 passed, 2 failed :: 题面不可改少一列: NEW.question IS NOT OLD.question OR
F14b: KILLED exit=1 22 passed, 2 failed :: 题面不可改少一列: NEW.outcome_oracle_relay_ids IS NOT OLD.outcome_or
F14c: KILLED exit=1 21 passed, 3 failed :: 题面不可改少一列: NEW.resolution_rule_spec IS NOT OLD.resolution_rul
F14d: KILLED exit=1 22 passed, 2 failed :: 题面不可改少一列: NEW.outcome_market_source IS NOT OLD.outcome_marke
F14e: KILLED exit=1 22 passed, 2 failed :: 题面不可改少一列: NEW.outcome_condition_id IS NOT OLD.outcome_condit
F14f: KILLED exit=1 22 passed, 2 failed :: 题面不可改少一列: OR NEW.outcome_end_ms IS NOT OLD.outcome_end_ms
F15a: KILLED exit=1 21 passed, 3 failed :: 锁因少一条: status 出了 pending/prepared
F15b: KILLED exit=1 23 passed, 1 failed :: 锁因少一条: genesis_submitted_txid
F15c: KILLED exit=1 23 passed, 1 failed :: 锁因少一条: shardleaf_txid
F15d: KILLED exit=1 23 passed, 1 failed :: 锁因少一条: 已有下注
F15e: KILLED exit=1 23 passed, 1 failed :: 锁得太晚: genesis 已广播(submitted)仍可改题面
SUMMARY mutants=66 killed=66 survivors=0 errors=0
